model,n,n_neurons,k,is_lowrank,per_step_ms,speedup_vs_dense,matvec_per_step_ms,matvec_speedup,max_abs_err_r_max,mean_abs_err_r_max,max_pos_err,mean_pos_err,rmse_r,relerr_conn,captured_energy
CANN1D,64,64,-1,0,0.007082708179950714,1.0,0.00023208558559417725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,64,64,1,1,0.006749294698238373,1.0493997516213605,7.146038115024567e-05,3.247751857161475,4.218239337205887e-05,1.2228702871652786e-05,0.004746913909912109,0.003769442186358586,1.9635459466371685e-05,1.0761327743530273,0.284926176071167
CANN1D,64,64,2,1,0.006916932761669159,1.023966608320991,6.708316504955292e-05,3.4596695821185617,4.225876182317734e-05,1.1308146895316895e-05,0.003756403923034668,0.0028034742715670235,1.6334943211404607e-05,1.1714870929718018,0.510125994682312
CANN1D,64,64,4,1,0.006666406989097595,1.062447611064543,0.00010021030902862549,2.315985130111524,3.0363909900188446e-05,1.0799541996675543e-05,0.0051000118255615234,0.00243805149036586,1.571910615894012e-05,1.3064730167388916,0.8289600610733032
CANN1D,64,64,8,1,0.006625428795814514,1.0690188360978352,9.604264050722122e-05,2.4164848484848487,5.8014877140522e-05,1.4004232070874423e-05,0.0055484771728515625,0.0027913461631192036,1.8173141143051907e-05,1.3721328973770142,0.9938458800315857
CANN1D,64,64,16,1,0.006709247827529907,1.0556635202665186,0.0001304224133491516,1.7794915738360468,5.883164703845978e-05,1.5909545254544355e-05,0.005528926849365234,0.002786264385110769,1.8290133084519766e-05,1.3737406730651855,1.0
CANN1D,64,64,32,1,0.006707385182380676,1.055956678700361,0.00017457641661167145,1.3294211789810617,5.883723497390747e-05,1.5907935448922217e-05,0.005528926849365234,0.002786267469239295,1.8290127627551556e-05,1.3737406730651855,1.0
CANN1D,64,64,64,1,0.007291324436664581,0.9713884276408226,0.0003489619120955467,0.6650742603984574,5.883723497390747e-05,1.5907939086901024e-05,0.005528926849365234,0.0027862668701976387,1.8290125808562152e-05,1.3737406730651855,1.0
CANN1D,128,128,-1,0,0.007167458534240723,1.0,0.0006070826202630997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,128,128,1,1,0.0077076256275177,0.9299178347027549,8.687376976013184e-05,6.988100343053174,9.271781891584396e-06,3.282229954493232e-06,0.004228115081787109,0.003652467387704993,9.354696885566227e-06,1.1538134813308716,0.28273317217826843
CANN1D,128,128,2,1,0.007124617695808411,1.0060130718954248,0.0001872936263680458,3.241341587727804,9.965617209672928e-06,3.433192659940687e-06,0.0052956342697143555,0.0038027647021577587,9.718394721858203e-06,1.2588814496994019,0.5055913329124451
CANN1D,128,128,4,1,0.006709247827529907,1.0682953914491948,0.0001620827242732048,3.7455109604389922,1.9581057131290436e-05,4.668971541832434e-06,0.0062978267669677734,0.004618783443978983,1.243772294401424e-05,1.3782732486724854,0.8270003199577332
CANN1D,128,128,8,1,0.007582828402519226,0.9452223041021862,0.0001439591869711876,4.217046741064208,3.2300129532814026e-05,1.3375875823840033e-05,0.0068781375885009766,0.0039428568037984954,1.2873601008323021e-05,1.4254449605941772,0.9937557578086853
CANN1D,128,128,16,1,0.007582828402519226,0.9452223041021862,0.00023978762328624725,2.5317512719928534,2.843327820301056e-05,1.3611116628453601e-05,0.0068798065185546875,0.003936791221550362,1.2859659364039544e-05,1.427431344985962,1.0
