model,n,n_neurons,k,is_lowrank,per_step_ms,speedup_vs_dense,matvec_per_step_ms,matvec_speedup,max_abs_err_r_max,mean_abs_err_r_max,max_pos_err,mean_pos_err,rmse_r,relerr_conn,captured_energy
CANN1D,64,64,-1,0,0.007166527211666107,1.0,0.00024187378585338593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,64,64,1,1,0.006416812539100647,1.1168359941944848,7.437542080879211e-05,3.2520661157024793,4.218239337205887e-05,1.2228702871652786e-05,0.004746913909912109,0.003769442186358586,1.9635459466371685e-05,1.0761327743530273,0.284926176071167
CANN1D,64,64,2,1,0.006875023245811462,1.04240043348686,7.208436727523804e-05,3.355426356589147,4.225876182317734e-05,1.1308146895316895e-05,0.003756403923034668,0.0028034742715670235,1.6334943211404607e-05,1.1714870929718018,0.510125994682312
CANN1D,64,64,4,1,0.006416812539100647,1.1168359941944848,8.312519639730453e-05,2.9097529550165255,3.0363909900188446e-05,1.0799541996675543e-05,0.0051000118255615234,0.00243805149036586,1.571910615894012e-05,1.3064730167388916,0.8289600610733032
CANN1D,64,64,8,1,0.007041729986667633,1.0177225234757308,0.00011020340025424957,2.1947942195554804,5.8014877140522e-05,1.4004232070874423e-05,0.0055484771728515625,0.0027913461631192036,1.8173141143051907e-05,1.3721328973770142,0.9938458800315857
CANN1D,64,64,16,1,0.007375143468379974,0.9717136002020457,0.00019749626517295837,1.2247005564462887,5.883164703845978e-05,1.5909545254544355e-05,0.005528926849365234,0.002786264385110769,1.8290133084519766e-05,1.3737406730651855,1.0
CANN1D,64,64,32,1,0.007458962500095367,0.9607941066300412,0.0002506282180547714,0.9650700457062168,5.883723497390747e-05,1.5907935448922217e-05,0.005528926849365234,0.002786267469239295,1.8290127627551556e-05,1.3737406730651855,1.0
CANN1D,128,128,-1,0,0.006584450602531433,1.0,0.0005870824679732323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,128,128,1,1,0.006792135536670685,0.9694227341286165,8.875038474798203e-05,6.6149850464347555,9.271781891584396e-06,3.282229954493232e-06,0.004228115081787109,0.003652467387704993,9.354696885566227e-06,1.1538134813308716,0.28273317217826843
CANN1D,128,128,2,1,0.007416121661663055,0.8878563355519277,0.00016791746020317078,3.4962562396006653,9.965617209672928e-06,3.433192659940687e-06,0.0052956342697143555,0.0038027647021577587,9.718394721858203e-06,1.2588814496994019,0.5055913329124451
CANN1D,128,128,4,1,0.007792375981807709,0.8449862555276683,0.00016583595424890518,3.540139836576531,1.9581057131290436e-05,4.668971541832434e-06,0.0062978267669677734,0.004618783443978983,1.243772294401424e-05,1.3782732486724854,0.8270003199577332
CANN1D,128,128,8,1,0.0072503462433815,0.9081567116249197,0.00015937257558107376,3.683710737764792,3.2300129532814026e-05,1.3375875823840033e-05,0.0068781375885009766,0.0039428568037984954,1.2873601008323021e-05,1.4254449605941772,0.9937557578086853
CANN1D,128,128,16,1,0.006916932761669159,0.9519321394910462,0.00026833266019821167,2.187890462307372,2.843327820301056e-05,1.3611116628453601e-05,0.0068798065185546875,0.003936791221550362,1.2859659364039544e-05,1.427431344985962,1.0
CANN1D,128,128,32,1,0.009041279554367065,0.7282653481664606,0.0003645801916718483,1.6102972168648537,2.844119444489479e-05,1.3611067515739705e-05,0.0068798065185546875,0.003936789129584579,1.2859663911513053e-05,1.427431344985962,1.0
CANN1D,256,256,-1,0,0.00708363950252533,1.0,0.0032552098855376244,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,256,256,1,1,0.0075427815318107605,0.9391282874428942,0.00013228971511125565,24.60667394135661,2.8596259653568268e-06,8.720508617443556e-07,0.004202365875244141,0.003712805984869375,4.718817308457801e-06,1.1076314449310303,0.28224533796310425
CANN1D,256,256,2,1,0.006750226020812988,1.04939293598234,0.0002579204738140106,12.620982884379288,3.384659066796303e-06,9.488477417107788e-07,0.004842698574066162,0.004087905572661803,5.063527169113513e-06,1.2010682821273804,0.5035987496376038
CANN1D,256,256,4,1,0.007208436727523804,0.982687338501292,0.00025645364075899124,12.693170882283514,2.7492642402648926e-06,1.1569587741178111e-06,0.0064051151275634766,0.004321384206227023,5.209965365793323e-06,1.3309191465377808,0.8261029124259949
CANN1D,256,256,8,1,0.012165866792201996,0.582255224680395,0.0002260413020849228,14.400951753121008,5.979090929031372e-06,2.3113645966077456e-06,0.0060079097747802734,0.004134199067238887,4.931470812152838e-06,1.3877894878387451,0.993712842464447
CANN1D,256,256,16,1,0.007375143468379974,0.96047480742518,0.00033458229154348373,9.729175655175293,5.54695725440979e-06,2.4039704840106424e-06,0.006020307540893555,0.00413580719456451,4.953980806021718e-06,1.389832854270935,0.9999999403953552
CANN1D,256,256,32,1,0.0074999406933784485,0.9444927356264746,0.0005564512684941292,5.84994602374955,5.546491593122482e-06,2.4044968540692935e-06,0.006020069122314453,0.004135799734623888,4.9539758038008586e-06,1.389832854270935,1.0
CANN1D,512,512,-1,0,0.007375143468379974,1.0,0.0117906229570508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,512,512,1,1,0.007541850209236145,0.9778957767349963,0.00023895874619483948,49.34166731623665,1.1422671377658844e-06,6.511574497380934e-07,0.004182696342468262,0.0037124513334889507,2.3690747639193432e-06,1.1261546611785889,0.2821313142776489
