model,n,n_neurons,k,is_lowrank,per_step_ms,speedup_vs_dense,matvec_per_step_ms,matvec_speedup,max_abs_err_r_max,mean_abs_err_r_max,max_pos_err,mean_pos_err,rmse_r,relerr_conn,captured_energy
CANN1D,64,64,-1,0,0.007208436727523804,1.0,0.00023917295038700104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,64,64,1,1,0.006584450602531433,1.0947666195190948,6.958376616239548e-05,3.4371946730910796,4.218239337205887e-05,1.2228702871652786e-05,0.004746913909912109,0.003769442186358586,1.9635459466371685e-05,1.0761327743530273,0.284926176071167
CANN1D,64,64,2,1,0.006582587957382202,1.0950764006791172,7.85384327173233e-05,3.0452982331317444,4.225876182317734e-05,1.1308146895316895e-05,0.003756403923034668,0.0028034742715670235,1.6334943211404607e-05,1.1714870929718018,0.510125994682312
CANN1D,64,64,4,1,0.0064997002482414246,1.1090414099441182,0.00010875053703784943,2.1992806371499527,3.0363909900188446e-05,1.0799541996675543e-05,0.0051000118255615234,0.00243805149036586,1.571910615894012e-05,1.3064730167388916,0.8289600610733032
CANN1D,64,64,8,1,0.007208436727523804,1.0,9.062234312295914e-05,2.6392271722933045,5.8014877140522e-05,1.4004232070874423e-05,0.0055484771728515625,0.0027913461631192036,1.8173141143051907e-05,1.3721328973770142,0.9938458800315857
CANN1D,64,64,16,1,0.006582587957382202,1.0950764006791172,0.00014812685549259186,1.6146494812951901,5.883164703845978e-05,1.5909545254544355e-05,0.005528926849365234,0.002786264385110769,1.8290133084519766e-05,1.3737406730651855,1.0
CANN1D,64,64,32,1,0.007750466465950012,0.9300648882480173,0.00022541265934705734,1.0610448902018303,5.883723497390747e-05,1.5907935448922217e-05,0.005528926849365234,0.002786267469239295,1.8290127627551556e-05,1.3737406730651855,1.0
CANN1D,128,128,-1,0,0.0069998204708099365,1.0,0.000586044043302536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,128,128,1,1,0.007832422852516174,0.8936979785969085,8.22870060801506e-05,7.121951219512195,9.271781891584396e-06,3.282229954493232e-06,0.004228115081787109,0.003652467387704993,9.354696885566227e-06,1.1538134813308716,0.28273317217826843
CANN1D,128,128,2,1,0.007375143468379974,0.9491097360777876,0.0001366669312119484,4.2881188456165455,9.965617209672928e-06,3.433192659940687e-06,0.0052956342697143555,0.0038027647021577587,9.718394721858203e-06,1.2588814496994019,0.5055913329124451
CANN1D,128,128,4,1,0.006541609764099121,1.0700455580865604,0.00015603844076395035,3.7557671073442958,1.9581057131290436e-05,4.668971541832434e-06,0.0062978267669677734,0.004618783443978983,1.243772294401424e-05,1.3782732486724854,0.8270003199577332
CANN1D,128,128,8,1,0.0069998204708099365,1.0,0.00017270445823669434,3.393334771354616,3.2300129532814026e-05,1.3375875823840033e-05,0.0068781375885009766,0.0039428568037984954,1.2873601008323021e-05,1.4254449605941772,0.9937557578086853
CANN1D,128,128,16,1,0.006708316504955292,1.0434541163404136,0.0002441694959998131,2.400152569848384,2.843327820301056e-05,1.3611116628453601e-05,0.0068798065185546875,0.003936791221550362,1.2859659364039544e-05,1.427431344985962,1.0
CANN1D,128,128,32,1,0.006707385182380676,1.0435990002777007,0.00029603950679302216,1.9796143077358668,2.844119444489479e-05,1.3611067515739705e-05,0.0068798065185546875,0.003936789129584579,1.2859663911513053e-05,1.427431344985962,1.0
CANN1D,256,256,-1,0,0.00666547566652298,1.0,0.003229789435863495,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,256,256,1,1,0.00874977558851242,0.7617881852048962,0.00012062489986419678,26.775478690549722,2.8596259653568268e-06,8.720508617443556e-07,0.004202365875244141,0.003712805984869375,4.718817308457801e-06,1.1076314449310303,0.28224533796310425
CANN1D,256,256,2,1,0.007416121661663055,0.8987818661308552,0.00023582950234413147,13.695442698049128,3.384659066796303e-06,9.488477417107788e-07,0.004842698574066162,0.004087905572661803,5.063527169113513e-06,1.2010682821273804,0.5035987496376038
CANN1D,256,256,4,1,0.0074999406933784485,0.8887371166025084,0.00021229032427072525,15.214020926100595,2.7492642402648926e-06,1.1569587741178111e-06,0.0064051151275634766,0.004321384206227023,5.209965365793323e-06,1.3309191465377808,0.8261029124259949
CANN1D,256,256,8,1,0.0074999406933784485,0.8887371166025084,0.00024666544049978256,13.093806044816976,5.979090929031372e-06,2.3113645966077456e-06,0.0060079097747802734,0.004134199067238887,4.931470812152838e-06,1.3877894878387451,0.993712842464447
CANN1D,256,256,16,1,0.007124617695808411,0.9355555555555556,0.0003679143264889717,8.778645470769153,5.54695725440979e-06,2.4039704840106424e-06,0.006020307540893555,0.00413580719456451,4.953980806021718e-06,1.389832854270935,0.9999999403953552
